dim,points,k,itopk_size,time_ms,recall,status
2,100000,40,512,1945.8733098581433,0.9519157409667969,ok
2,100000,40,512,1949.0588100161403,0.9417145252227783,ok
2,500000,40,32,,,error
2,500000,40,32,,,error
2,500000,40,32,,,error
2,500000,40,64,721.418937901035,0.6070365905761719,ok
2,500000,40,64,725.5518978927284,0.6213135719299316,ok
2,500000,40,64,724.9147850088775,0.6130946278572083,ok
2,500000,40,128,1292.1101809479296,0.6651657819747925,ok
2,500000,40,128,1056.6108711063862,0.6537595987319946,ok
2,500000,40,128,1084.7966850269586,0.6735928058624268,ok
2,500000,40,256,2412.9083121661097,0.6952088475227356,ok
2,500000,40,256,2407.421703916043,0.6888803839683533,ok
2,500000,40,256,2434.07524516806,0.6935228705406189,ok
2,500000,40,512,7768.576290924102,0.7346378564834595,ok
2,500000,40,512,7714.596573030576,0.7339038252830505,ok
2,500000,40,512,7670.360994990915,0.7239959836006165,ok
4,100000,40,32,,,error
4,100000,40,32,,,error
4,100000,40,32,,,error
4,100000,40,64,145.1485021971166,0.9408634901046753,ok
4,100000,40,64,148.04419898428023,0.9233084917068481,ok
4,100000,40,64,147.91228994727135,0.9241204857826233,ok
4,100000,40,128,281.36560902930796,0.9360097646713257,ok
4,100000,40,128,277.626576134935,0.9357722401618958,ok
4,100000,40,128,167.87913884036243,0.9427292346954346,ok
4,100000,40,256,591.2491527851671,0.9521275162696838,ok
4,100000,40,256,341.588739072904,0.9459182620048523,ok
4,100000,40,256,582.4342397972941,0.9394237399101257,ok
4,100000,40,512,1949.7713900636882,0.9481065273284912,ok
4,100000,40,512,1538.1221161223948,0.952335774898529,ok
4,100000,40,512,1550.8532710373402,0.9519330263137817,ok
4,500000,40,32,,,error
4,500000,40,32,,,error
4,500000,40,32,,,error
4,500000,40,64,724.5723761152476,0.568153977394104,ok
4,500000,40,64,723.2749031390995,0.5810525417327881,ok
4,500000,40,64,733.0890560988337,0.5876038670539856,ok
4,500000,40,128,1260.5128940194845,0.6214268803596497,ok
4,500000,40,128,1224.5872300118208,0.6392087340354919,ok
4,500000,40,128,1251.9958931952715,0.6388002038002014,ok
4,500000,40,256,1995.1931370887905,0.6700039505958557,ok
4,500000,40,256,1994.1021259874105,0.6581292748451233,ok
4,500000,40,256,2007.2400700300932,0.6687359809875488,ok
4,500000,40,512,6607.661183923483,0.702161431312561,ok
4,500000,40,512,6587.977824965492,0.705568790435791,ok
4,500000,40,512,6654.303598916158,0.716749906539917,ok
6,100000,40,32,,,error
6,100000,40,32,,,error
6,100000,40,32,,,error
6,100000,40,64,140.85187204182148,0.11426574736833572,ok
6,100000,40,64,151.81707101874053,0.07909999787807465,ok
6,100000,40,64,149.1754469461739,0.1349714994430542,ok
6,100000,40,128,263.9641370624304,0.10386600345373154,ok
6,100000,40,128,255.74454898014665,0.13598600029945374,ok
6,100000,40,128,153.72349391691387,0.15721799433231354,ok
6,100000,40,256,499.06403897330165,0.17679324746131897,ok
6,100000,40,256,396.59709203988314,0.1419454962015152,ok
6,100000,40,256,514.5193971693516,0.15271849930286407,ok
6,100000,40,512,989.489738130942,0.19501100480556488,ok
6,100000,40,512,1043.315963121131,0.15736225247383118,ok
6,100000,40,512,1085.3315100539476,0.14774374663829803,ok
6,500000,40,32,,,error
6,500000,40,32,,,error
6,500000,40,32,,,error
6,500000,40,64,,,error
