dim,points,k,tau_query,time_ms,recall_set,recall_dist,status
2,100000,40,0.5,99.94779108092189,0.5396542549133301,0.539665,ok
2,100000,40,0.5,100.00288533046842,0.5397457480430603,0.5397565,ok
2,100000,40,0.64,110.65659625455737,0.5518674850463867,0.5518785,ok
2,100000,40,0.64,110.42003007605672,0.551967978477478,0.551979,ok
2,100000,40,0.64,110.89687095955014,0.5517874956130981,0.5517985,ok
2,100000,40,0.8,118.3074489235878,0.5641865134239197,0.56419825,ok
2,100000,40,0.8,117.88758495822549,0.5642145276069641,0.56422625,ok
2,100000,40,0.8,117.60337697342038,0.5639519691467285,0.56396375,ok
4,100000,40,0.3,83.17009638994932,0.5177307724952698,0.5177355,ok
4,100000,40,0.3,82.9248926602304,0.517861008644104,0.51786575,ok
4,100000,40,0.3,82.50486804172397,0.5178387761116028,0.5178435,ok
4,100000,40,0.5,101.376764010638,0.5325044989585876,0.532516,ok
4,100000,40,0.5,101.67064005509019,0.5356850028038025,0.5356965,ok
4,100000,40,0.5,101.31256328895688,0.5357049703598022,0.5357165,ok
4,100000,40,0.64,111.78045300766826,0.5434112548828125,0.54342275,ok
4,100000,40,0.64,111.49092484265566,0.5468329787254333,0.5468445,ok
4,100000,40,0.64,111.48440185934305,0.547099232673645,0.54711075,ok
4,100000,40,0.8,119.24299923703074,0.5593122243881226,0.559324,ok
4,100000,40,0.8,118.94705891609192,0.5590847730636597,0.55909625,ok
4,100000,40,0.8,118.73268289491534,0.5588520169258118,0.55886375,ok
6,100000,40,0.3,68.95500887185335,0.9841974973678589,0.98421075,ok
6,100000,40,0.3,68.8659199513495,0.9841989874839783,0.98421175,ok
6,100000,40,0.3,68.15587589517236,0.9841995239257812,0.9842125,ok
6,100000,40,0.5,69.80000715702772,0.9845679998397827,0.9845815,ok
6,100000,40,0.5,70.00040588900447,0.9845677614212036,0.98458075,ok
6,100000,40,0.5,70.07513707503676,0.9845684766769409,0.9845815,ok
6,100000,40,0.64,70.32327679917216,0.9849932193756104,0.98500725,ok
6,100000,40,0.64,70.23384841158986,0.9849914908409119,0.9850055,ok
6,100000,40,0.64,70.35044766962528,0.984992265701294,0.985006,ok
6,100000,40,0.8,71.08083879575133,0.9854447245597839,0.985458,ok
6,100000,40,0.8,70.86456008255482,0.9854440093040466,0.98545775,ok
6,100000,40,0.8,70.6306779757142,0.9854429960250854,0.98545725,ok
7,100000,40,0.3,53.726273123174906,0.9994497299194336,0.99945475,ok
7,100000,40,0.3,53.32641722634435,0.9994497299194336,0.99945475,ok
7,100000,40,0.3,53.419623989611864,0.9994497299194336,0.99945475,ok
7,100000,40,0.5,53.34407091140747,0.9994785189628601,0.9994835,ok
7,100000,40,0.5,53.44120413064957,0.9994787573814392,0.99948375,ok
7,100000,40,0.5,53.438988979905844,0.9994789958000183,0.999484,ok
7,100000,40,0.64,53.334321826696396,0.9994884729385376,0.9994935,ok
7,100000,40,0.64,53.280250169336796,0.9994882345199585,0.99949325,ok
7,100000,40,0.64,53.297562059015036,0.9994887709617615,0.99949375,ok
7,100000,40,0.8,53.16275730729103,0.9994980096817017,0.999503,ok
7,100000,40,0.8,53.12460521236062,0.9994982481002808,0.99950325,ok
7,100000,40,0.8,53.08816721662879,0.9994982481002808,0.99950325,ok
8,100000,40,0.3,53.41766681522131,0.9994530081748962,0.99945925,ok
8,100000,40,0.3,52.684430964291096,0.9994527697563171,0.999459,ok
8,100000,40,0.3,52.9063711874187,0.9994527697563171,0.999459,ok
8,100000,40,0.5,52.75944294407964,0.999494731426239,0.999501,ok
8,100000,40,0.5,53.057256154716015,0.999494731426239,0.999501,ok
8,100000,40,0.5,52.6577397249639,0.9994944930076599,0.99950075,ok
8,100000,40,0.64,53.21349063888192,0.9995222687721252,0.9995285,ok
8,100000,40,0.64,53.1100956723094,0.9995212554931641,0.9995275,ok
8,100000,40,0.64,52.91523691266775,0.9995217323303223,0.999528,ok
8,100000,40,0.8,52.71604098379612,0.9995219707489014,0.99952825,ok
8,100000,40,0.8,52.70543973892927,0.9995219707489014,0.99952825,ok
8,100000,40,0.8,52.60425992310047,0.9995219707489014,0.99952825,ok
9,100000,40,0.3,53.5021061077714,0.9994524717330933,0.99945875,ok
9,100000,40,0.3,52.86891991272569,0.9994527697563171,0.999459,ok
9,100000,40,0.3,52.547742146998644,0.9994530081748962,0.99945925,ok
9,100000,40,0.5,52.529457956552505,0.9994944930076599,0.99950075,ok
9,100000,40,0.5,53.058357909321785,0.999494731426239,0.999501,ok
9,100000,40,0.5,52.531753201037645,0.9994944930076599,0.99950075,ok
9,100000,40,0.64,52.78178537264466,0.9995219707489014,0.99952825,ok
9,100000,40,0.64,52.51519102603197,0.9995219707489014,0.99952825,ok
9,100000,40,0.64,52.395985927432775,0.9995219707489014,0.99952825,ok
9,100000,40,0.8,52.39583505317569,0.9995219707489014,0.99952825,ok
9,100000,40,0.8,52.846626844257116,0.9995219707489014,0.99952825,ok
9,100000,40,0.8,52.5917150080204,0.9995219707489014,0.99952825,ok
10,100000,40,0.3,52.73446487262845,0.9994387626647949,0.99944475,ok
10,100000,40,0.3,54.53602084890008,0.9994387626647949,0.99944475,ok
10,100000,40,0.3,53.613427095115185,0.9994387626647949,0.99944475,ok
10,100000,40,0.5,53.29597694799304,0.9994819760322571,0.999488,ok
10,100000,40,0.5,53.39668784290552,0.999482274055481,0.99948825,ok
10,100000,40,0.5,52.632051054388285,0.9994819760322571,0.999488,ok
10,100000,40,0.64,53.0363661237061,0.9995179772377014,0.999524,ok
10,100000,40,0.64,53.16983815282583,0.9995182752609253,0.99952425,ok
10,100000,40,0.64,52.4735227227211,0.9995179772377014,0.999524,ok
10,100000,40,0.8,52.53690294921398,0.9995179772377014,0.999524,ok
