dim,points,k,tau_query,time_ms,recall,status
3,500000,100,0.8,1255.1119870040566,0.4056563079357147,ok
3,500000,100,0.8,1255.668630125001,0.40562552213668823,ok
5,500000,40,0.3,524.7150498908013,0.005083099938929081,ok
5,500000,40,0.3,521.7426591552794,0.005080500151962042,ok
5,500000,40,0.3,523.4885599929839,0.004979549907147884,ok
5,500000,40,0.5,583.4394199773669,0.005184350069612265,ok
5,500000,40,0.5,587.9196519963443,0.005083050113171339,ok
5,500000,40,0.5,585.7989119831473,0.005184450186789036,ok
5,500000,40,0.64,617.4609600566328,0.005282899830490351,ok
5,500000,40,0.64,618.635140825063,0.005270650144666433,ok
5,500000,40,0.64,618.4569939505309,0.005182799883186817,ok
5,500000,40,0.8,650.4116361029446,0.00538450013846159,ok
5,500000,40,0.8,649.5507280342281,0.005381950177252293,ok
5,500000,40,0.8,651.0409060865641,0.005383600015193224,ok
2,500000,40,0.3,640.4332879465073,0.36550775170326233,ok
2,500000,40,0.3,636.3637230824679,0.3657307028770447,ok
2,500000,40,0.3,638.5685820132494,0.3655833899974823,ok
2,500000,40,0.5,746.7632649932057,0.37232744693756104,ok
2,500000,40,0.5,747.7457229979336,0.3720909655094147,ok
2,500000,40,0.5,747.9475438594818,0.37231820821762085,ok
2,500000,40,0.64,802.7103228960186,0.37632814049720764,ok
2,500000,40,0.64,801.9969339948148,0.37638601660728455,ok
2,500000,40,0.64,804.0187379810959,0.37620899081230164,ok
2,500000,40,0.8,844.4893520791084,0.3802456557750702,ok
2,500000,40,0.8,845.9319600369781,0.3801318407058716,ok
2,500000,40,0.8,844.6473008953035,0.3800608515739441,ok
4,500000,40,0.3,640.8421108499169,0.3603495657444,ok
4,500000,40,0.3,638.5498479939997,0.36030200123786926,ok
4,500000,40,0.3,638.4818588849157,0.3602258563041687,ok
4,500000,40,0.5,749.76217886433,0.366679310798645,ok
4,500000,40,0.5,748.6925260163844,0.36676570773124695,ok
4,500000,40,0.5,748.9753100089729,0.3667561411857605,ok
4,500000,40,0.64,806.8594529759139,0.3706340491771698,ok
4,500000,40,0.64,805.6393761653453,0.3707290589809418,ok
4,500000,40,0.64,803.4475620370358,0.37077999114990234,ok
4,500000,40,0.8,847.980597987771,0.3744826018810272,ok
4,500000,40,0.8,846.207516035065,0.37466755509376526,ok
4,500000,40,0.8,845.95424705185,0.3746407926082611,ok
6,500000,40,0.3,493.92089108005166,0.9172822833061218,ok
6,500000,40,0.3,492.5812769215554,0.9172993302345276,ok
6,500000,40,0.3,492.1847570221871,0.9172620177268982,ok
6,500000,40,0.5,496.4831250254065,0.9196174144744873,ok
6,500000,40,0.5,495.1230529695749,0.9195709824562073,ok
6,500000,40,0.5,494.35818707570434,0.9196482300758362,ok
6,500000,40,0.64,497.21502885222435,0.9216580390930176,ok
6,500000,40,0.64,498.4085960313678,0.9217038154602051,ok
6,500000,40,0.64,498.58984909951687,0.9216172099113464,ok
6,500000,40,0.8,500.13783597387373,0.9237757921218872,ok
6,500000,40,0.8,503.4836621489376,0.9237651824951172,ok
6,500000,40,0.8,501.758961006999,0.9237338304519653,ok
7,500000,40,0.3,316.17136485874653,0.9572901129722595,ok
7,500000,40,0.3,312.9041970241815,0.9572944045066833,ok
7,500000,40,0.3,313.8598210643977,0.9572939872741699,ok
7,500000,40,0.5,329.9962889868766,0.9591625928878784,ok
7,500000,40,0.5,331.6004420630634,0.9591619968414307,ok
7,500000,40,0.5,333.5360619239509,0.9591622352600098,ok
7,500000,40,0.64,340.84887779317796,0.959943413734436,ok
7,500000,40,0.64,340.4040071181953,0.9599161148071289,ok
7,500000,40,0.64,339.67988821677864,0.9599164128303528,ok
7,500000,40,0.8,345.3529339749366,0.9604392051696777,ok
7,500000,40,0.8,345.5653851851821,0.9604325294494629,ok
7,500000,40,0.8,346.01710992865264,0.960436999797821,ok
8,500000,40,0.3,325.9764590766281,0.9428718090057373,ok
8,500000,40,0.3,323.6923608928919,0.942875325679779,ok
8,500000,40,0.3,324.56450001336634,0.9428756237030029,ok
8,500000,40,0.5,346.88009112142026,0.9441801309585571,ok
8,500000,40,0.5,345.41934891603887,0.944185197353363,ok
8,500000,40,0.5,345.8233019337058,0.9441800117492676,ok
8,500000,40,0.64,355.5526379495859,0.9447222352027893,ok
8,500000,40,0.64,361.28753097727895,0.9447246193885803,ok
8,500000,40,0.64,356.63020494394004,0.944718599319458,ok
8,500000,40,0.8,361.23827705159783,0.9451535940170288,ok
8,500000,40,0.8,362.2920601628721,0.9451462030410767,ok
8,500000,40,0.8,362.41927999071777,0.945153534412384,ok
9,500000,40,0.3,323.82623408921063,0.9428716897964478,ok
9,500000,40,0.3,322.3277509678155,0.9428752064704895,ok
9,500000,40,0.3,322.25529407151043,0.9428718090057373,ok
9,500000,40,0.5,345.62586015090346,0.9441872239112854,ok
9,500000,40,0.5,345.59783595614135,0.9441800117492676,ok
9,500000,40,0.5,345.17220105044544,0.9441801905632019,ok
9,500000,40,0.64,354.10187509842217,0.944718599319458,ok
9,500000,40,0.64,355.3359180223197,0.9447184205055237,ok
9,500000,40,0.64,355.7607408147305,0.9447184205055237,ok
9,500000,40,0.8,362.0242029428482,0.945153534412384,ok
9,500000,40,0.8,361.28181987442076,0.9451535940170288,ok
9,500000,40,0.8,361.32277688011527,0.9451534152030945,ok
10,500000,40,0.3,324.6463439427316,0.9425905346870422,ok
10,500000,40,0.3,324.10672307014465,0.9425904154777527,ok
10,500000,40,0.3,322.9098520241678,0.94259113073349,ok
10,500000,40,0.5,346.96507500484586,0.9438667297363281,ok
10,500000,40,0.5,345.78109602443874,0.9438667893409729,ok
10,500000,40,0.5,346.42833890393376,0.9438695311546326,ok
10,500000,40,0.64,355.92827713117003,0.9444001913070679,ok
10,500000,40,0.64,355.17434193752706,0.9444032311439514,ok
10,500000,40,0.64,353.6439088638872,0.9444026350975037,ok
10,500000,40,0.8,359.49380812235177,0.9448432326316833,ok
10,500000,40,0.8,359.8330488894135,0.9448432326316833,ok
10,500000,40,0.8,358.66920882835984,0.9448462128639221,ok
