dim,points,k,itopk_size,time_ms,recall_set,recall_dist,status
7,100000,40,256,233.75879973173141,0.2307794988155365,0.2308175,ok
7,100000,40,256,229.03831209987402,0.2341567426919937,0.23418975,ok
7,100000,40,256,233.65032393485308,0.23216049373149872,0.23219475,ok
7,100000,40,512,683.4239698946476,0.1924472451210022,0.19248075,ok
7,100000,40,512,683.8756939396262,0.21139875054359436,0.211433,ok
7,100000,40,512,677.6608969084918,0.2278060019016266,0.227847,ok
8,100000,40,32,,,,error
8,100000,40,32,,,,error
8,100000,40,32,,,,error
8,100000,40,64,,,,error
8,100000,40,64,,,,error
8,100000,40,64,,,,error
8,100000,40,128,,,,error
8,100000,40,128,,,,error
8,100000,40,128,,,,error
8,100000,40,256,,,,error
8,100000,40,256,,,,error
8,100000,40,256,,,,error
8,100000,40,512,,,,error
8,100000,40,512,,,,error
8,100000,40,512,,,,error
9,100000,40,32,,,,error
9,100000,40,32,,,,error
9,100000,40,32,,,,error
9,100000,40,64,,,,error
9,100000,40,64,,,,error
9,100000,40,64,,,,error
9,100000,40,128,,,,error
9,100000,40,128,,,,error
9,100000,40,128,,,,error
9,100000,40,256,,,,error
9,100000,40,256,,,,error
9,100000,40,256,,,,error
9,100000,40,512,,,,error
9,100000,40,512,,,,error
9,100000,40,512,,,,error
10,100000,40,32,,,,error
10,100000,40,32,,,,error
10,100000,40,32,,,,error
10,100000,40,64,,,,error
10,100000,40,64,,,,error
10,100000,40,64,,,,error
10,100000,40,128,,,,error
10,100000,40,128,,,,error
10,100000,40,128,,,,error
10,100000,40,256,,,,error
10,100000,40,256,,,,error
10,100000,40,256,,,,error
10,100000,40,512,,,,error
10,100000,40,512,,,,error
10,100000,40,512,,,,error
3,500000,10,32,160.5323888361454,0.6145626306533813,0.6153866,ok
3,500000,10,32,160.6419258750975,0.6047009825706482,0.6055758,ok
3,500000,10,32,160.8223868533969,0.5842844247817993,0.584461,ok
3,500000,10,64,313.2547549903393,0.6805863976478577,0.6812154,ok
3,500000,10,64,314.54311963170767,0.6635482311248779,0.6644624,ok
3,500000,10,64,311.75154400989413,0.6664237976074219,0.667199,ok
3,500000,10,128,560.0304170511663,0.7141658067703247,0.7154078,ok
3,500000,10,128,559.4320362433791,0.7253047823905945,0.7261886,ok
3,500000,10,128,560.7729647308588,0.7310590147972107,0.7317804,ok
3,500000,10,256,1136.7581440135837,0.7646160125732422,0.7659324,ok
3,500000,10,256,1132.58889131248,0.7486608028411865,0.75041,ok
3,500000,10,256,1132.1818311698735,0.7495580315589905,0.7504116,ok
3,500000,10,512,3507.1466071531177,0.804639995098114,0.8059934,ok
3,500000,10,512,3489.9188107810915,0.8234767913818359,0.824404,ok
3,500000,10,512,3482.245782390237,0.8006917834281921,0.8019702,ok
3,500000,40,32,,,,error
3,500000,40,32,,,,error
3,500000,40,32,,,,error
3,500000,40,64,312.32133274897933,0.6510736346244812,0.65138445,ok
3,500000,40,64,312.22744612023234,0.6713231801986694,0.67159085,ok
3,500000,40,64,312.35450599342585,0.6406235098838806,0.64081165,ok
3,500000,40,128,557.0074878633022,0.7053826451301575,0.70600475,ok
3,500000,40,128,554.9411596730351,0.7035493850708008,0.7038256,ok
3,500000,40,128,557.5040769763291,0.7178745865821838,0.71839285,ok
