algorithm,dim,points,k,memory_mb,status
cuvs,6,100000,40,33.55443200000013,ok
cuvs,7,100000,40,33.554431999999906,ok
cuvs,8,100000,40,,error
cuvs,9,100000,40,,error
cuvs,10,100000,40,,error
cuvs,3,500000,10,142.60633599999983,ok
cuvs,3,500000,40,142.60633599999983,ok
cuvs,5,500000,40,,error
cuvs,2,500000,40,140.509184,ok
cuvs,4,500000,40,136.31488000000013,ok
cuvs,6,500000,40,,error
cuvs,7,500000,40,,error
cuvs,8,500000,40,,error
cuvs,9,500000,40,,error
cuvs,10,500000,40,,error
cuvs,3,1000000,10,287.30982399999994,ok
cuvs,3,1000000,40,285.2126719999999,ok
cuvs,5,1000000,40,,error
cuvs,2,1000000,40,281.018368,ok
cuvs,4,1000000,40,272.6297599999998,ok
cuvs,6,1000000,40,,error
cuvs,7,1000000,40,,error
cuvs,8,1000000,40,,error
cuvs,9,1000000,40,,error
cuvs,10,1000000,40,,error
cuvs,3,1500000,10,425.7218559999999,ok
cuvs,3,1500000,40,425.7218560000001,ok
cuvs,5,1500000,40,,error
cuvs,2,1500000,40,419.43039999999996,ok
cuvs,4,1500000,40,406.8474879999999,ok
cuvs,6,1500000,40,,error
cuvs,7,1500000,40,,error
cuvs,8,1500000,40,,error
cuvs,9,1500000,40,,error
cuvs,10,1500000,40,,error
cuvs,3,2000000,10,568.3281920000002,ok
cuvs,3,2000000,40,568.328192,ok
cuvs,5,2000000,40,,error
cuvs,2,2000000,40,559.939584,ok
cuvs,4,2000000,40,543.162368,ok
cuvs,6,2000000,40,622.8541439999999,ok
cuvs,7,2000000,40,631.2427520000001,ok
cuvs,8,2000000,40,,error
cuvs,9,2000000,40,,error
cuvs,10,2000000,40,,error
cuvs,3,2500000,10,710.934528,ok
cuvs,3,2500000,40,710.934528,ok
cuvs,5,2500000,40,,error
cuvs,2,2500000,40,700.448768,ok
cuvs,4,2500000,40,813.6949759999998,ok
cuvs,6,2500000,40,,error
cuvs,7,2500000,40,,error
cuvs,8,2500000,40,,error
cuvs,9,2500000,40,,error
cuvs,10,2500000,40,,error
cuvs,3,3000000,10,849.34656,ok
cuvs,3,3000000,40,849.34656,ok
cuvs,5,3000000,40,,error
cuvs,2,3000000,40,836.7636479999999,ok
cuvs,4,3000000,40,811.5978239999997,ok
cuvs,6,3000000,40,,error
cuvs,7,3000000,40,,error
cuvs,8,3000000,40,,error
cuvs,9,3000000,40,,error
cuvs,10,3000000,40,,error
cuvs,3,3500000,10,991.952896,ok
cuvs,3,3500000,40,991.9528960000002,ok
cuvs,5,3500000,40,,error
cuvs,2,3500000,40,977.2728320000001,ok
cuvs,4,3500000,40,947.9127040000001,ok
cuvs,6,3500000,40,,error
cuvs,7,3500000,40,,error
cuvs,8,3500000,40,,error
cuvs,9,3500000,40,,error
cuvs,10,3500000,40,,error
cuvs,3,4000000,10,1132.46208,ok
cuvs,3,4000000,40,1132.46208,ok
cuvs,5,4000000,40,,error
cuvs,2,4000000,40,1117.782016,ok
cuvs,4,4000000,40,1084.2275839999998,ok
cuvs,6,4000000,40,1245.708288,ok
cuvs,7,4000000,40,1262.485504,ok
cuvs,8,4000000,40,,error
cuvs,9,4000000,40,,error
cuvs,10,4000000,40,,error
cuvs,3,4500000,10,1275.068416,ok
cuvs,3,4500000,40,,error
