dim,points,k,time_ms,status
3,100000,40,610.9320847317576,ok
3,500000,40,2306.7237520590425,ok
3,1000000,40,4517.673641443253,ok
3,1500000,40,6017.549755051732,ok
3,2000000,40,8073.383514769375,ok
3,2500000,40,10108.125554397702,ok
3,3000000,40,12528.881125152111,ok
3,3500000,40,14203.7434540689,ok
3,4000000,40,16458.83282646537,ok
3,4500000,40,,error
3,5000000,40,21812.787029892206,ok
5,0,40,0.0,empty
5,100000,40,619.6534596383572,ok
5,500000,40,2237.135961651802,ok
5,1000000,40,4145.39701025933,ok
5,1500000,40,6474.397846497595,ok
5,2000000,40,8233.212779276073,ok
5,2500000,40,9901.090087369084,ok
5,3000000,40,11789.594028145075,ok
5,3500000,40,14291.519436985254,ok
5,4000000,40,16241.765120998025,ok
5,4500000,40,18158.48282072693,ok
5,5000000,40,20729.247085750103,ok
3,0,10,0.0,empty
3,100000,10,617.9971061646938,ok
3,500000,10,2147.432410158217,ok
3,1000000,10,4129.294762387872,ok
3,1500000,10,6288.789866492152,ok
3,2000000,10,8079.469811171293,ok
3,2500000,10,10024.056559428573,ok
3,3000000,10,11974.090993404388,ok
3,3500000,10,14104.894928634167,ok
3,4000000,10,16170.358991250396,ok
3,4500000,10,18113.487280905247,ok
3,5000000,10,20153.570350259542,ok
