size,k,dimension,hnswlib_time,fgc_time,count
800000,10,5,5697.762489318848,2150.9644985198975,1
800000,40,3,4908.432245254517,300.6322383880615,1
800000,40,5,5694.096803665161,2412.2138023376465,1
800000,100,3,4760.736703872681,277.3163318634033,1
800000,100,5,5969.03657913208,2686.854362487793,1
900000,10,3,5297.525644302368,220.4117774963379,1
900000,10,5,7211.919784545898,2425.3885746002197,1
900000,40,3,5229.269742965698,180.8481216430664,1
900000,40,5,6342.7674770355225,2515.111207962036,1
900000,100,3,5340.075731277466,582.3428630828857,1
900000,100,5,6867.101430892944,3771.7151641845703,1
1000000,10,2,8017.749071121216,361.1164093017578,1
1000000,10,3,6078.636646270752,169.7075366973877,2
1000000,10,4,6699.143171310425,1043.9348220825195,1
1000000,10,5,7227.454662322998,1749.6740818023682,1
1000000,40,2,5572.604835033417,926.5733361244202,4
1000000,40,3,6244.324326515198,294.6343421936035,4
1000000,40,4,6926.711479822795,1451.9311587015789,3
1000000,40,5,7534.12667910258,2912.007967631022,3
1000000,40,6,8247.53475189209,5921.982049942017,2
1000000,40,7,9015.607953071594,9532.833456993105,2
1000000,40,8,9553.611993789673,9563.558578491213,2
1000000,40,9,11224.910616874697,11204.8362493515,2
1000000,40,10,12412.44649887085,14552.13701725006,2
1000000,40,11,12946.576714515686,18589.96844291687,2
1000000,40,12,14239.478588104248,24435.409784317017,1
1000000,40,13,15879.11319732666,29100.300550460815,1
1000000,40,14,15419.602155685425,33460.002183914185,1
1000000,40,15,16292.423248291016,37431.01358413696,1
1000000,40,16,17414.93320465088,99912.99176216124,1
1000000,40,17,17864.49360847473,46334.1703414917,1
1000000,40,18,18463.993787765503,51951.972007751465,1
1000000,40,19,19231.193780899048,56949.67246055603,1
1000000,40,20,24759.20248031616,61346.52996063232,1
1000000,40,21,20122.737884521484,69158.70022773743,1
1000000,40,22,19844.08164024353,74894.12927627563,1
1000000,40,23,20560.94026565552,78993.14045906067,1
1000000,40,24,32078.826904296875,101281.72063827516,1
1000000,40,25,20155.117988586426,92334.1772556305,1
1000000,40,26,21440.46711921692,97506.334066391,1
1000000,40,27,24469.49315071106,102427.51407623292,1
1000000,40,28,30129.439115524292,104834.87057685852,1
1000000,40,29,26122.373819351196,115804.82959747314,1
1000000,100,2,5641.414880752564,1571.6123580932615,1
1000000,100,3,6078.588962554932,609.8988056182861,2
1000000,100,4,6827.147960662842,2528.0981063842773,1
1000000,100,5,7923.142671585083,4814.9659633636475,1
1500000,10,3,10123.759746551514,635.4739665985107,1
1500000,10,5,11654.895305633543,5593.048095703125,1
1500000,40,3,9514.33563232422,767.4202919006348,1
1500000,40,5,11596.910238265991,6703.181266784668,1
1500000,100,3,9292.081832885742,1331.3915729522705,1
1500000,100,5,12870.678186416626,8993.24345588684,1
2000000,10,3,12499.455690383911,1216.503381729126,1
2000000,10,5,17657.70196914673,6714.167356491089,1
2000000,40,3,12729.874849319458,1059.859275817871,1
2000000,40,5,17771.15797996521,12400.635957717896,1
2000000,100,3,13121.808290481567,2010.310411453247,1
2000000,100,5,19633.944749832153,15576.663255691528,1
2500000,10,3,17614.479303359985,1863.748550415039,1
2500000,10,5,22538.275957107544,11311.39874458313,1
2500000,40,3,17490.493774414062,1479.888916015625,1
2500000,40,5,21977.0770072937,16290.939092636108,1
2500000,100,3,17500.123977661133,2954.8373222351074,1
2500000,100,5,24115.23127555847,21515.361547470093,1
3000000,10,3,20995.139837265015,2762.638807296753,1
3000000,10,5,26076.842308044434,13682.171821594238,1
3000000,40,3,20932.74712562561,3407.6857566833496,1
3000000,40,5,26877.875804901123,22958.313941955566,1
3000000,100,3,21117.589235305782,2850.780725479126,1
3000000,100,5,30453.782320022583,31514.196157455444,1
3500000,10,3,24200.796842575073,3704.6523094177246,1
3500000,10,5,32143.77999305725,18095.616102218628,1
3500000,40,3,24364.101886749268,4127.517461776733,1
3500000,100,3,24637.52841949463,4669.560432434082,1
5000000,10,2,32388.616800308228,14215.174198150637,1
5000000,10,3,34351.126194000244,5052.417993545532,1
5000000,40,2,29643.58675479889,16046.908617019652,2
5000000,40,3,33130.555868148804,3699.207663536072,2
5000000,40,4,38192.89040565491,12772.18246459961,1
5000000,40,5,42105.15904426575,44687.07656860352,1
5000000,40,6,47160.353660583496,84990.71645736694,1
5000000,40,7,55655.620098114014,121410.39037704468,1
5000000,40,8,66821.04897499084,140861.73391342163,1
5000000,40,9,77255.27548789978,198625.9069442749,1
5000000,40,10,80085.74676513672,246848.2356071472,1
5000000,100,2,31246.30188941956,19905.691623687744,1
5000000,100,3,35324.19419288635,5138.530731201172,1
