size,k,faiss_time,fgc_time,count,dimension
3000,100,7.097482681274414,16.33310317993164,2,3
3000,10,1.529216766357422,19.602179527282715,2,5
3000,40,1.9905567169189455,16.18349552154541,2,5
3000,100,5.100369453430176,29.950857162475582,2,5
4000,10,1.6922950744628906,8.747696876525879,2,3
4000,40,3.4351348876953125,11.829257011413574,2,3
4000,100,5.9108734130859375,12.888669967651367,2,3
4000,10,4.066228866577148,25.21336078643799,2,5
4000,40,4.895567893981934,22.00329303741455,2,5
4000,100,7.090091705322266,20.23375034332275,2,5
5000,10,1.7087459564208984,36.515235900878906,2,3
5000,40,5.297183990478516,10.457277297973633,2,3
5000,100,7.423877716064453,19.394636154174805,2,3
5000,10,1.6722679138183594,31.923294067382812,2,5
5000,40,7.400870323181152,18.349051475524902,2,5
5000,100,10.941386222839355,29.97708320617676,2,5
6000,10,1.595616340637207,20.865678787231445,2,3
6000,40,3.7266016006469727,15.103936195373535,2,3
6000,100,12.81297206878662,12.395977973937988,2,3
6000,10,2.58028507232666,33.14638137817383,2,5
6000,40,4.978179931640625,21.361351013183594,2,5
6000,100,9.640812873840332,43.31254959106445,2,5
7000,10,4.717588424682617,24.97231960296631,2,3
7000,40,7.080674171447754,20.74265480041504,2,3
7000,100,11.778593063354492,19.96421813964844,2,3
7000,10,2.9134750366210938,25.336742401123047,2,5
7000,40,7.33339786529541,34.24549102783203,2,5
7000,100,12.003302574157717,38.8568639755249,2,5
8000,10,6.979703903198242,15.313386917114258,2,3
8000,40,8.69607925415039,19.024252891540527,2,3
8000,100,12.232661247253418,20.798921585083008,2,3
8000,10,6.8999528884887695,16.109347343444824,2,5
8000,40,6.920337677001953,23.868083953857425,2,5
8000,100,11.729121208190918,38.81406784057617,2,5
9000,10,4.691600799560547,12.331008911132812,2,3
9000,40,7.041811943054199,17.36152172088623,2,3
9000,100,15.938162803649902,17.10689067840576,2,3
9000,10,2.10726261138916,34.1486930847168,2,5
9000,40,7.283449172973633,29.39319610595703,2,5
9000,100,15.127301216125488,23.28050136566162,2,5
10000,10,6.342053413391113,25.144457817077637,2,3
10000,40,8.144497871398926,10.968446731567385,2,3
10000,100,17.56918430328369,19.93739604949951,2,3
10000,10,5.157947540283203,36.86058521270752,2,5
10000,40,6.200075149536133,30.94017505645752,2,5
10000,100,14.076828956604004,37.37270832061768,2,5
20000,10,8.156895637512207,25.846123695373535,2,3
20000,40,16.19899272918701,17.20452308654785,2,3
20000,100,44.81709003448486,16.979336738586426,2,3
20000,10,13.205409049987791,40.53401947021485,2,5
20000,40,17.82524585723877,40.90595245361328,2,5
20000,100,29.439449310302734,46.366214752197266,2,5
30000,10,11.372089385986328,23.687005043029785,2,3
30000,40,32.48751163482666,16.078591346740723,2,3
