dim,points,k,time_ms,status
5,1000000,40,14099.28494086489,ok
5,1000000,40,13952.39876001142,ok
5,1000000,40,14031.8604640197,ok
5,1000000,40,14175.140867941082,ok
5,1000000,40,14060.440820874646,ok
5,1000000,40,14025.1004321035,ok
3,1500000,10,23392.466412158683,ok
3,1500000,10,23133.32300190814,ok
3,1500000,10,21359.144099988043,ok
3,1500000,10,23324.423589045182,ok
3,1500000,10,24538.50438608788,ok
3,1500000,10,24549.072169000283,ok
3,1500000,10,24598.67791994475,ok
3,1500000,10,24471.853434108198,ok
3,1500000,40,25940.49042300321,ok
3,1500000,40,25891.698280116543,ok
3,1500000,40,25860.661494079977,ok
3,1500000,40,25757.609823020175,ok
3,1500000,40,25870.334585895762,ok
3,1500000,40,25971.20121307671,ok
3,1500000,40,23789.086733944714,ok
3,1500000,40,24127.125944942236,ok
3,1500000,100,26895.048258127645,ok
3,1500000,100,29221.582531929016,ok
3,1500000,100,29032.619636971503,ok
3,1500000,100,29223.251182818785,ok
3,1500000,100,29050.97283399664,ok
3,1500000,100,29220.254831016064,ok
3,1500000,100,29094.080787850544,ok
3,1500000,100,29117.93366400525,ok
5,1500000,40,22881.029767915606,ok
5,1500000,40,22857.36675118096,ok
5,1500000,40,21348.89089805074,ok
5,1500000,40,21549.355358816683,ok
5,1500000,40,19894.167528953403,ok
5,1500000,40,22073.647351935506,ok
5,1500000,40,22830.36549692042,ok
5,1500000,40,22942.662419052795,ok
3,2000000,10,34793.16868586466,ok
3,2000000,10,34707.11851795204,ok
3,2000000,10,34788.2087409962,ok
3,2000000,10,34716.14311309531,ok
3,2000000,10,34708.69719097391,ok
3,2000000,10,34464.18534615077,ok
3,2000000,10,32370.33910304308,ok
3,2000000,10,30758.081743959337,ok
3,2000000,40,35881.35206210427,ok
3,2000000,40,36835.14614403248,ok
3,2000000,40,36780.74241406284,ok
3,2000000,40,36170.30355008319,ok
3,2000000,40,36459.446212043986,ok
3,2000000,40,36416.923474986106,ok
3,2000000,40,36440.72218216024,ok
3,2000000,40,34696.11154100858,ok
3,2000000,100,36680.54699595086,ok
3,2000000,100,40486.14667286165,ok
3,2000000,100,40656.030987156555,ok
3,2000000,100,41117.993098217994,ok
3,2000000,100,41239.45117997937,ok
3,2000000,100,40611.68885906227,ok
3,2000000,100,40626.58497109078,ok
3,2000000,100,39580.33936400898,ok
5,2000000,40,29986.93912103772,ok
5,2000000,40,29100.327057996765,ok
5,2000000,40,31971.831960836425,ok
5,2000000,40,32057.782605057582,ok
5,2000000,40,32092.61587820947,ok
5,2000000,40,32040.34130112268,ok
5,2000000,40,32079.485466936603,ok
5,2000000,40,31988.398337969556,ok
3,2500000,10,45398.67915119976,ok
3,2500000,10,42912.14810102247,ok
3,2500000,10,41112.43150406517,ok
3,2500000,10,44540.91964592226,ok
3,2500000,10,45202.637360896915,ok
3,2500000,10,45365.807065041736,ok
3,2500000,10,45183.76171099953,ok
3,2500000,10,45234.90726319142,ok
3,2500000,40,46988.00270794891,ok
3,2500000,40,43656.63781086914,ok
3,2500000,40,44843.133211135864,ok
3,2500000,40,47532.460518879816,ok
3,2500000,40,47586.02344011888,ok
3,2500000,40,47099.07881193794,ok
3,2500000,40,46826.37634803541,ok
3,2500000,40,47322.397144977,ok
3,2500000,100,49726.30664007738,ok
3,2500000,100,50891.23509894125,ok
3,2500000,100,53371.55469181016,ok
3,2500000,100,53330.359000945464,ok
3,2500000,100,53285.4973229114,ok
3,2500000,100,53279.236058937386,ok
3,2500000,100,50905.75391612947,ok
3,2500000,100,49232.17715811916,ok
5,2500000,40,41522.675869986415,ok
5,2500000,40,41797.087664017454,ok
5,2500000,40,41864.28280710243,ok
5,2500000,40,41870.82216399722,ok
5,2500000,40,41938.12537100166,ok
5,2500000,40,41728.82127016783,ok
5,2500000,40,39005.52842812613,ok
5,2500000,40,38784.727489808574,ok
3,3000000,10,57168.136683059856,ok
3,3000000,10,56856.992166955024,ok
3,3000000,10,57116.21425696649,ok
3,3000000,10,57028.44909694977,ok
3,3000000,10,54861.13479081541,ok
3,3000000,10,52841.23441600241,ok
3,3000000,10,56981.76440293901,ok
3,3000000,10,57093.5761728324,ok
3,3000000,40,59785.00590706244,ok
3,3000000,40,59794.234964996576,ok
3,3000000,40,56299.88866485655,ok
3,3000000,40,56132.46601098217,ok
3,3000000,40,59978.63257303834,ok
3,3000000,40,59832.96033204533,ok
3,3000000,40,60004.97133098543,ok
3,3000000,40,59216.969491913915,ok
3,3000000,100,62042.13145188987,ok
3,3000000,100,67802.75094998069,ok
3,3000000,100,67731.06553801335,ok
3,3000000,100,67711.65209705941,ok
3,3000000,100,66620.79440895468,ok
3,3000000,100,62186.32486113347,ok
3,3000000,100,67747.67159391195,ok
3,3000000,100,67529.95080105029,ok
5,3000000,40,53901.25288791023,ok
5,3000000,40,53994.68604498543,ok
5,3000000,40,50829.26601800136,ok
5,3000000,40,49470.393834868446,ok
5,3000000,40,53779.90862191655,ok
5,3000000,40,53784.086365951225,ok
