size,k,scann_time,fgc_time,count,fixed_dimension,dimension,fixed_size
4950000.0,40,469412.9333496094,4602.886438369751,5,3.0,,
5000000.0,40,476236.28306388855,4832.057237625122,5,3.0,,
50000.0,40,2336.4641666412354,487.08105087280273,5,10.0,,
100000.0,40,3807.173013687134,482.7556610107422,5,10.0,,
150000.0,40,6206.207513809204,774.0938663482666,5,10.0,,
200000.0,40,9000.267028808594,1122.7984428405762,5,10.0,,
250000.0,40,11169.467687606812,1468.8234329223633,5,10.0,,
300000.0,40,14683.574438095093,1910.2771282196045,5,10.0,,
350000.0,40,16595.41130065918,2639.9807929992676,5,10.0,,
400000.0,40,18971.73762321472,3015.7861709594727,5,10.0,,
450000.0,40,22176.806688308716,4115.79704284668,5,10.0,,
500000.0,40,25628.93557548523,4260.39981842041,5,10.0,,
550000.0,40,28031.83150291443,5204.118728637695,5,10.0,,
600000.0,40,30211.440086364742,6173.234224319458,5,10.0,,
650000.0,40,35880.45811653137,7052.217960357666,5,10.0,,
700000.0,40,39115.4682636261,7754.487037658691,5,10.0,,
750000.0,40,43098.501443862915,9101.959466934204,5,10.0,,
800000.0,40,45656.5523147583,9661.356687545776,5,10.0,,
850000.0,40,50898.16737174988,11262.793779373167,5,10.0,,
900000.0,40,53441.83421134949,13328.370809555054,5,10.0,,
950000.0,40,57609.65847969055,14835.30855178833,5,10.0,,
1000000.0,40,60484.119176864624,15485.039234161375,5,10.0,,
1050000.0,40,64571.208000183105,17980.149507522583,5,10.0,,
1100000.0,40,69755.46884536743,18397.53222465515,5,10.0,,
1150000.0,40,73706.49790763855,20031.002521514893,5,10.0,,
1200000.0,40,77545.19391059875,21679.200649261475,5,10.0,,
1250000.0,40,82952.8284072876,23090.434312820435,5,10.0,,
1300000.0,40,88073.74382019043,24435.415983200073,5,10.0,,
1350000.0,40,92544.52562332152,26850.77977180481,5,10.0,,
1400000.0,40,96084.89847183228,28903.114557266235,5,10.0,,
1450000.0,40,101796.20099067688,31660.77184677124,5,10.0,,
1500000.0,40,104984.82847213744,33760.12325286865,5,10.0,,
1550000.0,40,106388.71908187866,33965.64960479736,5,10.0,,
1600000.0,40,111889.9631500244,35283.947467803955,5,10.0,,
1650000.0,40,117050.01330375671,37355.93914985657,5,10.0,,
1700000.0,40,148899.79696273804,40198.62699508667,5,10.0,,
1750000.0,40,146773.76985549927,44335.21485328674,5,10.0,,
1800000.0,40,138685.38355827332,45982.64479637146,5,10.0,,
1850000.0,40,146118.31283569336,46969.19393539429,5,10.0,,
1900000.0,40,149175.16899108887,49104.20775413513,5,10.0,,
1950000.0,40,158281.59475326538,51973.525047302246,5,10.0,,
2000000.0,40,163916.58687591553,54907.82809257507,5,10.0,,
2050000.0,40,166920.4924106598,58587.40949630737,5,10.0,,
2100000.0,40,184491.76025390625,59310.1487159729,5,10.0,,
2150000.0,40,178840.48342704773,61854.127645492554,5,10.0,,
2200000.0,40,192156.6631793976,63753.10015678406,5,10.0,,
2250000.0,40,192510.80751419067,70460.78276634216,5,10.0,,
2300000.0,40,197852.01859474185,70764.0974521637,5,10.0,,
2350000.0,40,203364.40658569336,79988.32869529724,5,10.0,,
2400000.0,40,209918.3166027069,76382.96556472778,5,10.0,,
2450000.0,40,215101.21655464172,79693.34650039673,5,10.0,,
2500000.0,40,222755.24473190308,85667.21725463867,5,10.0,,
2550000.0,40,230424.61800575256,87366.65511131287,5,10.0,,
2600000.0,40,238125.95200538635,88675.38166046143,5,10.0,,
2650000.0,40,242629.21977043152,93280.35235404968,5,10.0,,
2700000.0,40,259478.56974601743,96787.70899772644,5,10.0,,
2750000.0,40,275158.6799621582,99848.31476211548,5,10.0,,
2800000.0,40,282958.0354690552,109758.80455970764,5,10.0,,
2850000.0,40,277942.3303604126,105776.75318717957,5,10.0,,
2900000.0,40,287807.4724674225,110718.37997436523,5,10.0,,
2950000.0,40,292860.5287075043,113888.46373558044,5,10.0,,
3000000.0,40,296026.67236328125,117334.65337753296,5,10.0,,
3050000.0,40,306108.362197876,126978.19113731384,5,10.0,,
3100000.0,40,310248.19588661194,124980.46112060548,5,10.0,,
3150000.0,40,321640.60974121094,127439.89086151125,5,10.0,,
3200000.0,40,324129.43172454834,131543.6146259308,5,10.0,,
3250000.0,40,332522.6557254791,137263.4837627411,5,10.0,,
3300000.0,40,346505.46860694885,139201.2236118317,5,10.0,,
3350000.0,40,348588.255405426,144138.75198364258,5,10.0,,
3400000.0,40,361709.9332809448,146690.68121910095,5,10.0,,
3450000.0,40,358479.75158691406,153063.0133152008,5,10.0,,
3500000.0,40,372022.47166633606,159370.47910690308,5,10.0,,
3550000.0,40,382286.58533096313,162483.88147354126,5,10.0,,
3600000.0,40,388701.2641429901,178395.0433731079,5,10.0,,
3650000.0,40,392170.7322597504,175526.39293670654,5,10.0,,
3700000.0,40,408374.746799469,186567.6987171173,5,10.0,,
3750000.0,40,408585.3319168091,180449.52034950256,5,10.0,,
3800000.0,40,462149.36232566833,187905.92074394223,5,10.0,,
3850000.0,40,434977.4947166443,186132.8568458557,5,10.0,,
3900000.0,40,445636.6314888001,190508.0888271332,5,10.0,,
3950000.0,40,450521.0349559784,196103.91354560852,5,10.0,,
4000000.0,40,457608.70695114136,201364.6144866943,5,10.0,,
4050000.0,40,472993.67904663086,221412.348985672,5,10.0,,
