dim,points,k,time_ms,status
3,4000000,100,464879.77093900554,ok
3,4000000,100,400712.10912195966,ok
3,4000000,100,291232.37536405213,ok
3,4000000,100,283731.46792594343,ok
3,4000000,100,284351.07525787316,ok
3,4000000,100,272626.9053511787,ok
3,4000000,100,276828.8413200062,ok
3,4000000,100,273639.5376720466,ok
5,4000000,40,257600.90034781024,ok
5,4000000,40,234166.96770582348,ok
5,4000000,40,233918.70390903205,ok
5,4000000,40,247162.7157619223,ok
5,4000000,40,192953.04597378708,ok
5,4000000,40,263394.0408648923,ok
5,4000000,40,208901.63593902253,ok
5,4000000,40,195608.51993295364,ok
5,4000000,40,193834.88587010652,ok
5,4000000,40,216155.47777316533,ok
3,4500000,10,261748.7179590389,ok
3,4500000,10,256751.47087615915,ok
3,4500000,10,233918.23839815333,ok
3,4500000,10,213197.21356988885,ok
3,4500000,10,164050.24078907445,ok
3,4500000,10,167417.7602760028,ok
3,4500000,10,175991.68868502602,ok
3,4500000,10,189905.92354512773,ok
3,4500000,10,165700.48849005252,ok
3,4500000,10,179302.25148703903,ok
3,4500000,40,273809.89775201306,ok
3,4500000,40,276624.57228288986,ok
3,4500000,40,280282.9536111094,ok
3,4500000,40,272840.69011104293,ok
3,4500000,40,319716.7557841167,ok
3,4500000,40,433002.47803819366,ok
3,4500000,40,413597.0165738836,ok
3,4500000,40,395449.61706199683,ok
3,4500000,40,405718.6921229586,ok
3,4500000,40,423462.0796821546,ok
3,4500000,100,421241.04035506025,ok
3,4500000,100,452503.724567825,ok
3,4500000,100,455470.79541999847,ok
3,4500000,100,448066.54303800315,ok
3,4500000,100,557746.7429770622,ok
3,4500000,100,515245.0115450192,ok
3,4500000,100,555089.7994299885,ok
3,4500000,100,535273.6974998843,ok
3,4500000,100,553914.5139500033,ok
3,4500000,100,533533.6424598936,ok
5,4500000,40,581798.7280949019,ok
5,4500000,40,553659.6232401207,ok
5,4500000,40,525908.2370209508,ok
5,4500000,40,537841.2277060561,ok
5,4500000,40,541597.7121319156,ok
5,4500000,40,566466.9183918741,ok
5,4500000,40,591951.5383800026,ok
5,4500000,40,573111.101627117,ok
5,4500000,40,568232.3004889768,ok
5,4500000,40,565645.5945961643,ok
3,5000000,10,454003.57518694364,ok
3,5000000,10,485393.5070678126,ok
3,5000000,10,478466.9224959798,ok
3,5000000,10,456216.58648597077,ok
3,5000000,10,454593.1935601402,ok
3,5000000,10,475354.0339008905,ok
3,5000000,10,455190.3209059965,ok
3,5000000,10,473149.62028199807,ok
3,5000000,10,475204.2370981071,ok
3,5000000,10,408772.99559209496,ok
3,5000000,40,542385.1108299568,ok
3,5000000,40,541687.3424230143,ok
3,5000000,40,544888.8757459354,ok
3,5000000,40,538933.8407041505,ok
3,5000000,40,533118.5969151556,ok
3,5000000,40,390945.3822078649,ok
3,5000000,40,303240.99144595675,ok
3,5000000,40,304566.98723416775,ok
3,5000000,40,304587.1080060024,ok
3,5000000,40,304566.51890208013,ok
3,5000000,100,317084.3313031364,ok
3,5000000,100,317119.0681629814,ok
3,5000000,100,317126.46235805005,ok
